Date,Sleep Score,Recovery Score,Movement Score,Total Steps,Total Calories,Total Sleep,Sleep Awake Time,Deep Sleep,REM Sleep,Light Sleep,Sleep Efficiency,Phase Advance Steps,Average Temperature,Average RHR,Average HRV,Total Activity Minutes
1/30/25,92,74,72,9116,3107,400,30,120,145,105,93,,28,54,39,395
1/31/25,84,71,64,5955,2689,435,35,115,90,195,92,1096,30,60,44,95
2/1/25,89,74,59,5976,2690,472,35,100,135,202,93,687,30,61,41,95
2/2/25,86,80,45,4415,2109,466,25,80,155,206,94,0,32,60,42,0
2/3/25,85,79,59,6885,2410,490,95,180,90,125,83,0,30,52,42,25
2/4/25,86,83,40,1711,1874,431,40,140,90,161,91,67,31,51,41,5
2/5/25,91,75,41,2639,1949,409,35,135,120,119,92,163,32,54,40,10
2/6/25,94,80,41,2515,1938,455,20,85,155,195,95,0,32,53,39,10
2/7/25,86,76,57,5270,2197,425,25,70,185,145,94,0,31,55,38,65
2/8/25,89,81,57,5570,2465,463,15,85,160,203,96,36,32,56,38,20
2/9/25,90,78,62,9237,3054,561,40,130,230,161,93,0,32,54,36,25
2/10/25,88,81,46,3902,2170,421,25,130,105,161,94,166,31,52,36,10
2/11/25,87,84,41,2454,1932,437,50,90,130,167,89,390,31,50,37,5
2/12/25,,,34,2089,2316,,,,,,,300,31,52,36,10
2/13/25,95,80,39,2529,1939,470,35,125,100,210,93,431,32,53,36,5
2/14/25,79,71,36,1462,1843,393,35,145,120,93,91,484,32,54,36,0
2/15/25,86,77,52,6166,2661,542,25,175,110,232,95,321,32,52,36,75
2/16/25,79,68,33,2285,1928,362,20,85,80,177,94,345,32,57,36,40
2/17/25,85,82,69,4895,2164,540,60,165,85,230,90,72,32,56,37,35
2/18/25,,,43,3213,1909,,,,,,,0,30,,,30
2/19/25,86,71,41,2351,1932,435,30,120,120,165,93,148,31,57,35,10
2/20/25,95,80,48,4261,2357,422,15,160,150,97,96,68,32,54,35,75
2/21/25,89,74,49,4842,2162,460,5,150,115,190,98,218,32,56,35,30
2/22/25,92,80,46,3755,2063,405,15,95,155,140,96,72,32,57,35,5
2/23/25,92,87,47,4827,2314,429,20,125,115,169,95,70,32,54,36,0
2/24/25,84,77,55,4805,2436,370,10,155,85,120,97,71,32,52,35,25
2/25/25,88,85,40,1637,1874,425,25,100,125,175,94,83,32,51,35,0
2/26/25,96,80,52,4932,2283,432,15,140,145,132,96,3,32,53,35,65
2/27/25,82,81,44,2295,2181,470,60,165,80,165,88,137,33,54,35,30
2/28/25,,,48,5350,1752,,,,,,,128,29,,,5
3/1/25,100,83,60,4710,2153,485,25,150,155,155,95,0,33,53,35,15
3/2/25,84,81,68,5684,2254,395,35,130,110,120,91,31,31,53,34,70
3/3/25,,,42,3170,1746,,,,,,,0,28,,,0
3/4/25,79,75,49,4296,2104,358,25,100,100,133,93,20,32,50,34,15
3/5/25,90,84,50,3911,2074,400,25,115,165,95,94,44,33,51,36,50
3/6/25,95,84,61,6855,2408,454,15,85,135,219,96,74,32,52,35,10
3/7/25,87,87,58,354,1996,440,85,150,130,75,83,60,32,52,35,0
3/8/25,91,86,57,7224,2736,400,15,155,75,155,96,96,31,50,34,40
3/9/25,89,79,77,6587,2257,473,10,100,165,198,97,0,32,52,34,45
3/10/25,96,84,60,6248,2480,537,5,185,115,232,99,194,31,51,34,15
3/11/25,91,84,47,2605,2049,375,40,140,135,60,90,35,32,49,34,45
3/12/25,91,71,43,2208,1905,430,55,145,85,145,88,23,32,56,35,0
3/13/25,93,87,44,1145,1810,410,45,130,115,120,90,97,32,50,35,0
3/14/25,82,80,58,4755,2134,400,60,80,150,110,86,0,32,52,36,55
3/15/25,90,79,67,3448,2016,410,40,105,140,125,91,23,31,54,36,10
3/16/25,88,85,75,7821,2526,469,20,85,135,229,95,48,32,51,36,0
3/17/25,,,46,2050,922,,,,,,,0,30,,,10
3/18/25,94,80,65,3558,2039,420,25,110,100,185,94,84,29,49,37,65
3/19/25,95,87,52,1434,1423,440,20,120,135,165,95,45,33,50,35,0
3/20/25,,,,,,,,,,,,,,,,